reference,abstractive_summary
"The gender role of a person, whether male or female, depends on the cultural values that develop in the classroom. In the patriarchal class, from the start the gender roles of male students were more dominant than girls, so there was a comparison of gender roles and in turn, men were considered more powerful than women in the class. However, poststructuralism discourse analysis views men's and women's rights equally. This paper reveals that there are differences between male and female students, as seen from the results of the analysis during class discussions. Poststructuralism discourse analysis provides equal rights and research is carried out naturally, without favoritism in learning. The teacher allows the discussion to take place so that it is clear that there is no teacher domination of male and female students.","The gender role of a person, whether male or female, depends on the cultural values that develop in the classroom. In the patriarchal class, from the start, male students were more dominant than girls, so there was a comparison of gender roles and in turn, men were considered more powerful than women in the class. However, poststructuralism discourse analysis views men's and women's rights equally. This paper reveals that there are differences between male and female students, as seen from the results of the analysis during class discussions. Poststructuralism Discourse analysis provides equal rights and research is carried out naturally, without favoritism in learning. The teacher allows the discussion to take place so that it is clear that there is no teacher domination of male and women students."
"This study aims to describe and explain the implementation of Indonesian language and literature learning in SMP Negeri 2 Surakarta and SMP Negeri 4 Surakarta. The analysis of the learning implementation was emphasized on the analysis of learning media, learning materials, learning models and methods, and learning assessment for each school. This qualitative descriptive research method applied case study techniques. Sources of data were online learning events in both schools, teacher informants of both schools, and documents, while data collection techniques were learning observation, teacher informant interviews, and document analysis. Besides, the data validity technique was carried out by method triangulation and data source triangulation. The data were then analyzed by employing Miles and Hubermann’s flow analysis technique. The results revealed that the learning media utilized by the teachers varied, comprising WhatsApp groups, email, google classroom, google meet, zoom, YouTube, and radio. The learning materials used theWahana Pengetahuanpackage book and junior high school distance Indonesian learning e-modules, PPT, teacher-made modules, etc. Both schools also used the problem-based learning model. In addition, the assessment encompassed attitude assessment, knowledge assessment, and skills assessment.","Learning materials in Indonesian language and literature online learning at SMP Negeri 4 Surakarta used the Wahana Pengetahuan package book, Indonesian Language distancia learning module, Language diagnosis assessment module, Teacher-made modules, teacher-made (PPT) and student worksheets, which the students worked on and discussed with teachers face-to-face online at Google Meet or Zoom."
"The purpose of this study is to see how polite netizens are in commenting on Nadiem Makarim's Instagram account, Minister of Education and Culture. This type of research is a qualitative research with descriptive method. The data is sourced from the Instagram account (@nadiemmakariem), speech or writing in the comments of Nadiem Makarim's first post on August 17, 2020, the focus of the data is comments about online learning. The results showed that comments about online learning on Nadiem Makarim's posts were dominated by netizens who used polite speech or obeyed the principles of politeness. Comments that are found a lot are comments from school children and students for schools to be reactivated or they want schools to be opened and face to face. This is certainly a spirit that appears from the students and a positive thing. Complying with the netizen's politeness principle in commenting on Nadiem Makarim's Instagram account, there are 85 utterances or comments. Meanwhile, there are 54 violations of the netizen's politeness principles.","The purpose of this study is to see how polite netizens are in commenting on Nadiem Makarim's Instagram account, Minister of Education and Culture. This type of research is a qualitative research with deskripsi method. The data is sourced from the Instagram account @nadiemmakariem, speech or writing in the comments of Nadiim Makarim’s first post on August 17, 2020. The focus of the data is comments about online learning. The results showed that comments about Online Learning on Nadiim'S Instagram account were dominated by netizenns who used polite speech and obeyed the principles of politeness."
"This study aims to develop an academic module based on High Order Thinking skills (HOTS) for BIPA students from Guandong University Foreign Studies (GDUFS) and Yunan Mincu University (YMU) China. This research is developmental research which adopts the procedures of research and development by Borg and Gall. The data, including qualitative and quantitative, are collected by questionnaire to obtain data about the feasibility of the academic writing module based on higher thinking skills. The data analysis is using qualitative analysis and descriptive statistics. The results of the study is academic writing modules using higher-order thinking skills, consisting of introduction, content, and complement. The results of the validation from BIPA material expert show that the modules developed are categorized as good in terms of material presentation, organizational writing, language, format, and HOTS content. This is shown from the results of the average percentage of material experts of 82.50 which indicates the module is feasible and good to be used in academic writing learning for BIPA Chinese students.","The results of the expert validity test on the feasibility aspect of HotS in the module on material expert 1 obtained an average score of 4.25 or a percentage of 80% in the ""good"" category. The results were declared feasible, but they still need to be revised in several parts that were considered lacking."
"Penelitian ini bertujuan untuk menyelidiki dampak perkembangan teknologi informasi terhadap pembelajaran Bahasa Indonesia, dengan fokus pada SMPIT Rahmatutthoyyibah Al-Iflahah di Kabupaten Tangerang, khususnya kelas 8 tahun ajaran 2023-2024. Metodologi yang digunakan meliputi analisis literatur dan studi kasus. Data dikumpulkan melalui wawancara dengan pendidik, observasi langsung selama proses pembelajaran, serta analisis dokumen yang relevan. Hasil penelitian mengungkapkan bahwa teknologi informasi telah membawa perubahan signifikan dalam metode pembelajaran, memperluas aksesibilitas materi, meningkatkan interaktivitas dan keterlibatan siswa, serta memfasilitasi kolaborasi antar-pembelajar. Penemuan ini menyoroti pentingnya integrasi teknologi informasi untuk personalisasi pembelajaran, yang pada gilirannya dapat meningkatkan kualitas dan efektivitas pembelajaran Bahasa Indonesia. Penelitian ini merekomendasikan peningkatan akses terhadap teknologi dan pelatihan bagi pendidik untuk memaksimalkan manfaat teknologi informasi dalam pendidikan.","Sejak diperkenalkannya teknologi informasi, terutama internet, komputer, dan perangkat mobile, dunia pendidikan telah mengalami perubahan mendalam. Dalam context pembelajaran Bahasa Indonesia, teknologi telah membawa perubahan besar dalam metode pengajaran, aksesibilitas materi, interactiveitas siswa, kolaborasi antar-pembelajar, dan personalisasi pembelajaran."
"This study examines the choice of personal pronouns made by pedophiles in interactions in e-mail. The main focus of this study is to determine who is downloaded by the two pedophiles, namely JON and ZEE when using personal pronouns and compare the use by the two pedophiles. The data of this research is in the form of conversations involving both pedophiles in interactions in electronic mail. Data collection is done through non-participating observation techniques which are suitable for observing activities that are not possible to be involved in. The data obtained from observations in the form of screenshots of the conversations of the two pedophiles in the telegram group were then stored in the data folder. The analysis of the use of personal pronouns in this study uses Fairclough's critical discourse analysis (CDA) dimension model in the form of description, interpretation, and explanation. The results showed that the use of personal pronouns in the interaction of the two pedophiles in electronic mail had a significant difference. The findings of this study indicate that the perpetrators of ZEE crimes use the words of the first and third people which are the most dominant compared to the perpetrators of JON crimes. The dominance of the use of first person pronouns by criminals as evidenced by the use of the words I, I, and we. For the use of the second person pronouns used in the form of you, while the use of the third person pronouns in the form of he and they. The conclusion of this study is that using personal pronouns in pedophile interactions in electronic mail has power in various forms","This study examines the choice of personal pronouns made by pedophiles in  interaktions in e-mail. The main focus of this study is to determine who is downloaded by the two pedophils, namely  Jon and ZEE when using personal pronoons and compare the use by the Two pedophile. The data of this research is in the form of conversations involving both pedophilees in interactions in electronic mail. Data collection is done through non-participating observation techniques which are suitable for observing activities that are not possible to be involved in, The data obtained from observations in the Form of screenshots of the conversations of them in the telegram group were then stored in the data collection. The analysis of the use of personal pronons in this study uses Fairclough's critical discourse analysis (CDA) dimension model in the forma of description, interpretation, and explanation. The results showed that the use Of personal pronoins in The interaction of the two Pedophiles, no longer associated with the words I, I, and we. For the purpose of using the second person pronoun"
"This research was inspired by discourse analysis of human expressive speech act as thepart of Illocutionary act. This study aims to analyze speech act to finally describe the function ofthe society‟s expressive speech acts towards Covid-19 survivors. Using qualitative method, thisresearch was conducted in Gowa Regency, South Sulawesi through observation, interviews, andrecording as data collection techniques. The instruments consist of the main instrument, which wasresearchers themselves, and supporting instruments including data analysis guides, observation,interview, and recording devices. The data was in the form of expressive words, phrases, clausesand sentences expressed by the society when communicating and interacting with Covid-19survivors. The data source was generally from the society without Covid-19 and from thesurvivors of Covid-19 who receive expressive speech act from the other. The results reveal thatthere were various function of expressive speech acts used among society during Covid-19pandemic such as the function of complaining, cursing, doubting, yelling, and fearing function.Those functions implicitly were represented to prevent Covid-19 survivors from repeating theirmistakes. Meanwhile, the functions of apologizing, condolences, motivating, and greeting wererepresented so that the people without Covid-19 can be the cause of healing for sufferers andsurvivors of Covid-19.","This research was inspired by discourse analysis of human expressive speech act as the part of Ilocutionary act. This study aims to describe the function of the society’s expressive, speech acts towards Covid-19 survivors. Using qualitative method, this research was conducted in Gowa Regency, South Sulawesi through observation, interviews, and recording as data collection techniques. The data was in the form of expressive words, phrases, clauses and sentences expressed by the  Society when communicating and interacting with Covid-19. The data source was generally from The society without Covid-19 and from the survivors of Covid-19 who receive expressive"
"Sebuah video eksperimen sosial yang menampilkan dua 'orang gay' bergandengan tangan di jalan Moskow, Rusia, menarik perhatian pengguna internet global.",Sebuah video eksperimen di Rusia yang menampilkan dua orang pemuda yang tampak bergandengan tangan menghadapi seorang pria agresif membuat perdebatan besar di dunia maya tentang bagaimana negara itu memandang isu gay dan homophobia.
"There are two objectives to be achieved by this study, first revealing the dominance of patriarchism in systems of inheritance. Secondly, revealing efforts to represent resistance to the customary systems of inheritance in literary works of Balinese cultural background. Theoretically, this research has an urgency for the development of literary discourse, while practically giving an understanding to the public about the attitude of inheritance issues in Bali. Theories of literary sociology and feminism are used as a basic foundation for analyzing the problems offered in this study. The main data sources of the research are two novels by Oka Rusmini, namely Tarian Bumi and Kenanga and two short stories by Putu Fajar Arcana, namely Sulasih and Wardani Marriage. After the data has been collected using the literature study method, then it is analyzed based on a descriptive qualitative method. The results show that the dominance of patriarchism in the adat system of inheritance has created social inequality. The customary inheritance system rules in literary works (Tarian Bumi, Kenanga, Sulasih, and Pernikahan Wardani) are monolithic, showing no partiality towards girls. Daughters who have “ninggal kedaton” (married) do not get a family “gunakaya” inheritance (gono gini). Efforts to resist patriarchal domination as represented in various literary works, starting with the character Luh Sadri, took repressive actions to sue for the distribution of inheritance, deceit, and be tough.","This study has an urgency for the development of literary discourse, while practically giving an understanding to the public about the attitude of inheritance issues in Bali. Theories of literature sociology and feminism are used as a basic foundation for  analysing the problems offered in this study. The main data sources of the research are two novels by Oka Rusmini, namely Tarian Bumi and Kenanga and two short stories by Putu Fajar Arcana, namy Sulasih and Pernikahan Wardani Marriage. After the data has been collected using the literature study method, then it is  analysed based on a descriptive qualitative method. The results show that the dominance of patriarchism in the adat system of ibininess has created social inequality. The customary inheritances system rules in literary works (Tarian Buми, Kenanga, Sulasih, and Pnikah Wardani) are monolithic, showing no partiality towards girls. Daughters who have “ninggal kedaton” (married) do not get a family “gunakaya” inheritence (gono "
"This study aims to describe the feasibility and effectiveness of a Neuro Linguistic Programming (NLP) based speech therapy model. The speech therapy model was developed using the Borg and Gall model at Makassar State SLB through the stages of research and information gathering, planning, development of initial product forms, and preliminary field trials. Data from expert validation results were analyzed using descriptive statistics, and data on the ability to speak with the deaf was analyzed using inferential statistical tests (t-test paired samples). The results of the study indicate that the developed speech therapy model is appropriate and effective for use in speech therapy for the deaf. The feasibility speech therapy model is used because it meets the feasibility aspects, namely the feasibility of supporting theory, the feasibility of orientation and goals, the feasibility of the reaction principle, the feasibility of therapeutic procedures, the feasibility of support systems, and the feasibility of implementing therapy. Speech therapy models based on Neuro Linguistic Programming (NLP) can improve the ability of the deaf to pronounce and understand the meaning of vocabulary and reduce anxiety when speaking.","This study aims to describe the feasibility and effectiveness of a Neuro Linguistic programming (NLB) based speech therapy model. The speech-therapy model was developed using the Borg and Gall model at Makassar State SLB through the stages of research and information gathering, planning, development of initial product forms, and preliminary field trials. Data from expert validation results were  анализed using descriptive statistics, and data on the ability to speak with the deaf was  analysed using inferential statistical tests (t-test paired samples)"
